ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
10, 0, 29, 6, 26, 17, 26, 10, 10, 10, 10, 10, 13, 10, 10, 10, 18, 10, 13, 10, 13, 10, 7, 10, 2, 10
10, 4, 23, 23, 6, 10, 24, 10, 14, 22, 7, 22, 13, 20, 11, 10, 10, 10, 20, 10, 7, 10, 7, 10, 10, 10
10, 13, 2, 28, 26, 11, 26, 7, 10, 18, 26, 7, 10, 7, 2, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 13
11, 3, 7, 22, 1, 27, 11, 13, 2, 9, 11, 22, 6, 11, 18, 11, 12, 11, 11, 11, 8, 2, 11, 11, 11, 11
11, 12, 6, 5, 11, 7, 11, 7, 11, 11, 11, 11, 5, 11, 11, 11, 2, 11, 11, 22, 11, 11, 11, 11, 11, 11
11, 31, 9, 4, 3, 31, 11, 27, 27, 11, 3, 11, 11, 11, 22, 10, 11, 11, 11, 11, 11, 11, 6, 11, 11, 11
11, 3, 15, 22, 11, 2, 11, 9, 2, 11, 6, 11, 10, 11, 9, 11, 11, 11, 11, 11, 6, 11, 11, 22, 7, 11
11, 6, 11, 25, 7, 27, 7, 11, 27, 11, 8, 11, 11, 11, 11, 11, 2, 11, 11, 11, 11, 11, 11, 15, 11, 11
11, 14, 6, 23, 9, 8, 7, 11, 11, 11, 11, 0, 9, 3, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11
11, 4, 23, 22, 9, 30, 22, 11, 0, 15, 11, 11, 18, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11
11, 8, 10, 13, 12, 24, 11, 18, 1, 11, 11, 11, 11, 2, 7, 18, 11, 9, 8, 11, 11, 8, 11, 11, 11, 11
11, 5, 2, 2, 12, 11, 11, 22, 1, 11, 11, 9, 22, 7, 11, 11, 11, 11, 9, 11, 11, 11, 11, 11, 11, 11
11, 14, 24, 12, 11, 11, 24, 2, 2, 11, 11, 22, 11, 11, 0, 11, 11, 6, 11, 11, 11, 15, 11, 12, 11, 11
11, 4, 27, 11, 11, 11, 6, 14, 15, 11, 11, 11, 11, 3, 11, 11, 11, 11, 11, 6, 11, 7, 11, 11, 11, 11
